Model,RMSE,RMSE_std,MAE,R2,R2_std
Linear Regression,3.483018065222976,0.2755748320202741,2.0062366102651894,0.0592740825735544,0.004041711430822664
Ridge Regression,3.4830180004927866,0.2755750934655923,2.0062372821023553,0.05927413036811342,0.004041572818165972
SVR (RBF),3.280169776764543,0.2740693821682192,1.2345714995191428,0.1662757434343127,0.008680310222208476
KNN (k=5),1.256964153699562,0.2325399208666265,0.30209717289038135,0.8719458915146223,0.04573486759461633
Random Forest (150),1.25208448041503,0.24617419882464825,0.31593171461595587,0.8752923786217306,0.039691146071043
XGBoost,1.2845456617322202,0.3518329121925812,0.3065831656330735,0.867203316278293,0.06276185402894163
MLP (128-64),1.303182327916646,0.6465186890700529,0.5370553913035041,0.8437215599538014,0.13755697494153402
