Model,geometry,f_res_true,f_res_pred,f_res_err_MHz,S11min_true,S11min_pred,S11min_err_dB,BW_true_MHz,BW_pred_MHz,BW_err_MHz
KNN (k=5),0,2.4730000495911,2.4000000953674,72.99995422369987,-18.541775145157,-25.965456383594603,7.423681238437602,33.99991989130014,42.99998283380013,9.000062942499994
KNN (k=5),8,2.4010000228882,2.3949999809265,6.00004196170012,-23.454181331496,-17.34720493751034,6.106976393985658,40.9998893736998,49.99995231620025,9.000062942500449
KNN (k=5),13,2.3900001049042,2.3949999809265,4.999876022299787,-36.90173593795,-22.726128036502637,14.175607901447364,46.00000381469993,54.99982833869987,8.99982452399994
KNN (k=5),18,2.4509999752045,2.4479999542236,3.000020980900242,-11.685655133294,-22.9150648564048,11.2294097231108,26.000022888200025,32.99999237060014,6.999969482400115
KNN (k=5),19,2.4519999027252,2.4479999542236,3.9999485016002367,-18.581929361413,-22.9150648564048,4.333135494991801,37.99986839300029,32.99999237060014,4.9998760224001515
KNN (k=5),30,2.3959999084473,2.3949999809265,0.9999275207999148,-21.427200484255998,-31.9766847581456,10.5494842738896,78.99999618530006,75.99997520450019,3.0000209807998743
KNN (k=5),31,2.3980000019073,2.3980000019073,0.0,-24.879161259311,-34.3559567612268,9.476795501915799,84.00011062629974,79.99992370600006,4.000186920299683
KNN (k=5),38,2.3949999809265,2.3940000534058,0.9999275206999947,-27.359127727739,-22.377062120837202,4.982065606901799,66.99991226199975,65.99998474119984,0.9999275207999148
KNN (k=5),41,2.3980000019073,2.3980000019073,0.0,-19.681770833663,-34.3559567612268,14.674185927563801,69.99993324280007,79.99992370600006,9.999990463199993
KNN (k=5),49,2.3910000324249,2.3949999809265,3.9999485015997926,-11.132181757703,-10.2474857504934,0.8846960072096,26.000022888200025,13.000011444100235,13.00001144409979
KNN (k=5),4,2.4000000953674,2.4019999504089,1.9998550414999094,-26.740244578527,-28.9315844765132,2.1913398979862,42.99998283380013,43.999910354599606,0.9999275207994742
KNN (k=5),9,2.3840000629425,2.385999917984,1.9998550414999094,-19.998909269943,-21.643126717632402,1.6442174476894031,49.00002479560017,49.00002479549981,1.0035705599875655e-10
KNN (k=5),14,2.4260001182556,2.3910000324249,35.00008583070002,-23.0230862050011,-23.414701182843196,0.39161497784209587,52.00004577640005,44.99983787539996,7.000207901000088
KNN (k=5),16,2.4319999217987,2.4470000267029,15.000104904200118,-16.730258868146,-15.227711540682202,1.5025473274637964,28.000116348199988,7.999897003200029,20.00021934499996
KNN (k=5),17,2.4379999637604,2.4470000267029,9.000062942499998,-10.776960574501,-15.227711540682202,4.450750966181202,9.999990463300357,7.999897003200029,2.0000934601003273
KNN (k=5),28,2.3940000534058,2.3940000534058,0.0,-16.38999103207,-21.9974618647158,5.607470832645799,65.99998474119984,69.00000572210007,3.0000209809002314
KNN (k=5),34,2.3949999809265,2.3940000534058,0.9999275206999947,-33.022843236116,-22.408499141779398,10.614344094336605,75.99997520450019,74.00012016289992,1.99985504160027
KNN (k=5),35,2.3970000743866,2.3970000743866,0.0,-61.784445329333,-21.0352892026264,40.7491561267066,77.00014114380016,69.00000572199971,8.00013542180045
KNN (k=5),43,2.3919999599457,2.3949999809265,3.000020980799878,-16.64990747909,-20.759709064793,4.109801585703,55.00006675719993,52.00004577640005,3.0000209807998814
KNN (k=5),50,2.3949999809265,2.3910000324249,3.9999485015997926,-10.257995278342,-11.1181025527362,0.8601072743942009,13.000011444100235,26.000022888200025,13.00001144409979
KNN (k=5),3,2.4030001163483,2.404000043869,0.9999275206999947,-11.700381621327,-12.5364469763812,0.836065355054199,29.999971389800262,37.000179290799906,7.000207900999644
KNN (k=5),5,2.4200000762939,2.4100000858307,9.999990463199993,-29.994411043104,-36.4016838663212,6.407272823217198,51.000118255600135,47.999858856200284,3.0002593993998516
KNN (k=5),10,2.385999917984,2.3849999904633,0.9999275206999947,-21.85497796376,-21.567889288554404,0.2870886752055952,49.00002479549981,47.999858856199836,1.0001659392999755
KNN (k=5),15,2.4200000762939,2.4010000228882,19.00005340569999,-18.15469827289,-23.0407455788138,4.886047305923803,36.00001335149994,40.9998893736998,4.999876022199864
KNN (k=5),20,2.4470000267029,2.4489998817444,1.9998550414999094,-23.51289943759,-14.284572580855382,9.228326856734618,32.99999237060014,29.999971389800262,3.000020980799878
KNN (k=5),25,2.404000043869,2.4030001163483,0.9999275206999947,-17.088875132172,-24.800004985303598,7.711129853131599,46.00000381469993,42.99998283390005,3.0000209807998814
KNN (k=5),29,2.3940000534058,2.3959999084473,1.9998550414999094,-18.426548199326,-20.3995936858836,1.9730454865575986,72.00002670289996,76.99990272520019,4.999876022300228
KNN (k=5),32,2.3940000534058,2.3940000534058,0.0,-22.114634008256,-24.741828634999997,2.6271946267439965,69.00000572210007,65.99998474119984,3.0000209809002314
KNN (k=5),33,2.3949999809265,2.3949999809265,0.0,-26.469293807126,-26.962199517860604,0.492905710734604,72.99995422359996,66.99991226199975,6.000041961600203
KNN (k=5),39,2.3949999809265,2.3949999809265,0.0,-23.502986944529,-31.9766847581456,8.4736978136166,69.00000572199971,75.99997520450019,6.999969482500475
KNN (k=5),44,2.3919999599457,2.3929998874664,0.9999275206999947,-15.361728291361,-15.270984375587002,0.09074391577399865,55.00006675719993,52.99997329710004,2.0000934600998903
KNN (k=5),1,2.3829998970032,2.3840000629425,1.0001659392999684,-18.377237901985,-19.8653072905376,1.4880693885525993,49.00002479550025,49.00002479560017,9.991651950258529e-11
KNN (k=5),2,2.3959999084473,2.4000000953674,4.00018692010029,-14.768047822382,-25.965456383594603,11.197408561212603,39.99996185300026,42.99998283380013,3.0000209807998743
KNN (k=5),12,2.3889999389648,2.3889999389648,0.0,-27.812491098665,-29.811569952929602,1.999078854264603,48.00009727479981,46.999931335499845,1.0001659392999684
KNN (k=5),22,2.4089999198914,2.4249999523163,16.000032424900112,-2.0414091459018,-5.22951174248574,3.1881025965839402,0.0,0.0,0.0
KNN (k=5),24,2.404000043869,2.4030001163483,0.9999275206999947,-12.555921394828,-11.6833505822622,0.8725708125657992,37.000179290799906,29.999971389800262,7.000207900999644
KNN (k=5),27,2.3919999599457,2.3970000743866,5.000114440899761,-10.547480191604,-17.944905504599,7.397425312994999,11.000156402599881,36.999940872200376,25.999784469600495
KNN (k=5),37,2.3940000534058,2.3940000534058,0.0,-38.68661580855,-21.9974618647158,16.689153943834203,65.00005722049984,69.00000572210007,3.9999485016002296
KNN (k=5),42,2.3910000324249,2.3919999599457,0.9999275207999148,-18.601334752652,-16.6073255439388,1.9940092087132015,54.999828338599954,55.00006675719993,0.00023841859997730808
KNN (k=5),46,2.3870000839233,2.3880000114441,0.9999275207999148,-12.295366808278,-11.3261377762428,0.9692290320351997,35.00008583070002,29.000043869099823,6.0000419616002
KNN (k=5),48,2.4800000190735,2.3980000019073,82.00001716620031,-7.3611952478712,-19.6212503487622,12.260055100890998,0.0,69.99993324280007,69.99993324280007
KNN (k=5),51,2.404000043869,2.4059998989105,1.9998550414999094,-8.8557287471496,-8.32414079485672,0.5315879522928793,0.0,0.0,0.0
KNN (k=5),6,2.4100000858307,2.4200000762939,9.999990463199993,-44.167741408399,-28.9113444230516,15.256396985347404,47.999858856200284,51.000118255600135,3.0002593993998516
KNN (k=5),7,2.4030001163483,2.4000000953674,3.000020980899798,-34.081850674315,-25.965456383594603,8.116394290720397,46.00000381469993,42.99998283380013,3.000020980899798
KNN (k=5),11,2.385999917984,2.3880000114441,2.000093460099883,-24.133015732301,-23.9567077289164,0.17630800338460162,48.00009727479981,47.999858856199836,0.00023841859997730808
KNN (k=5),21,2.4249999523163,2.4370000362396,12.000083923299876,-5.2438245034886,-6.863039706416859,1.6192152029282587,0.0,0.0,0.0
KNN (k=5),23,2.4030001163483,2.404000043869,0.9999275206999947,-10.097312622699,-12.5364469763812,2.439134353682199,8.000135421800003,37.000179290799906,29.000043868999903
KNN (k=5),26,2.3970000743866,2.3919999599457,5.000114440899761,-18.083089261324,-10.5177300030174,7.565359258306602,36.999940872200376,11.000156402599881,25.999784469600495
KNN (k=5),36,2.3980000019073,2.3980000019073,0.0,-35.993885930802,-22.757327202875,13.236558727927001,79.99992370600006,77.00014114380016,2.999782562199897
KNN (k=5),40,2.3970000743866,2.3970000743866,0.0,-21.123783788962,-43.1848282716186,22.061044482656598,69.00000572199971,77.00014114380016,8.00013542180045
KNN (k=5),45,2.3940000534058,2.3919999599457,2.000093460099883,-14.38401025269,-15.3325237206522,0.9485134679621989,52.99997329710004,55.00006675719993,2.0000934600998903
KNN (k=5),47,2.3880000114441,2.3919999599457,3.9999485016002367,-11.340509059496,-16.6073255439388,5.266816484442799,29.000043869099823,55.00006675719993,26.00002288810011
KNN (k=5),52,2.4059998989105,2.404000043869,1.9998550414999094,-8.3291901908807,-8.8495163883362,0.5203261974554998,0.0,0.0,0.0
Random Forest (150),0,2.4730000495911,2.4000000953674,72.99995422369987,-18.541775145157,-26.44546147412735,7.903686328970348,33.99991989130014,42.99998283380013,9.000062942499994
Random Forest (150),8,2.4010000228882,2.4010000228882,0.0,-23.454181331496,-20.32923824200049,3.1249430894955097,40.9998893736998,52.99997329710004,12.00008392340024
Random Forest (150),13,2.3900001049042,2.4260001182556,36.000013351400014,-36.90173593795,-23.431334344949434,13.470401593000567,46.00000381469993,50.999879837000165,4.999876022300235
Random Forest (150),18,2.4509999752045,2.4470000267029,3.9999485016002367,-11.685655133294,-23.201234289649797,11.515579156355797,26.000022888200025,32.99999237060014,6.999969482400115
Random Forest (150),19,2.4519999027252,2.4470000267029,4.999876022300231,-18.581929361413,-23.201234289649797,4.619304928236797,37.99986839300029,32.99999237060014,4.9998760224001515
Random Forest (150),30,2.3959999084473,2.3940000534058,1.9998550414999094,-21.427200484255998,-18.4137769753091,3.0134235089468966,78.99999618530006,75.00004768369983,3.9999485016002296
Random Forest (150),31,2.3980000019073,2.3970000743866,0.9999275206999947,-24.879161259311,-23.193825612548473,1.6853356467625282,84.00011062629974,78.99999618530006,5.000114440999681
