Model,RMSE random,R2 random,RMSE grouped,R2 grouped
KNN (k=5),0.4213391317230366,0.9866180622906328,1.256964153699562,0.8719458915146223
XGBoost,0.4570477866614501,0.9842536959773426,1.2845456617322202,0.867203316278293
MLP (128-64),0.5317152338320139,0.9786885196259844,1.303182327916646,0.8437215599538014
Random Forest (150),0.538918467538147,0.9781071881643666,1.25208448041503,0.8752923786217306
SVR (RBF),3.320177493620879,0.1690440255227308,3.280169776764543,0.1662757434343127
Linear Regression,3.5244132683669727,0.0636697222726344,3.483018065222976,0.0592740825735544
Ridge Regression,3.524413365485647,0.0636696706696299,3.4830180004927866,0.05927413036811342
