Model,f_res_MAE_MHz,f_res_median_MHz,f_res_within_10MHz,S11min_MAE_dB,BW_MAE_MHz
KNN (k=5),6.77,2.0,86.79,6.32,7.38
Random Forest (150),9.08,2.0,84.91,6.08,6.11
XGBoost,8.49,3.0,83.02,6.35,5.43
