Model,5,10,15,20,25,30,35,42
KNN (k=5),2.126,1.827,1.687,1.579,1.292,1.463,1.418,1.349
Random Forest (150),2.0,1.62,1.554,1.471,1.291,1.378,1.354,1.307
XGBoost,2.012,1.711,1.574,1.44,1.324,1.303,1.245,1.188
