Model,MAE,RMSE,R2,fit_s,paper_MAE,paper_RMSE,paper_R2,d_RMSE,d_R2
KNN (k=5),0.04945755888159184,0.42133913172303666,0.9866180622906328,0.1,0.0495,0.4216,0.9866,-0.0003,0.0
XGBoost,0.08270354574950771,0.4570477866614501,0.9842536959773426,3.1,0.1329,0.5855,0.9742,-0.1285,0.0101
MLP (128-64),0.15889765898082728,0.5317152338320139,0.9786885196259844,26.3,0.1795,0.511,0.9803,0.0207,-0.0016
Random Forest (150),0.05994562173619468,0.538918467538147,0.9781071881643666,2.1,0.06,0.538,0.9782,0.0009,-0.0001
SVR (RBF),1.2276276914741093,3.320177493620879,0.1690440255227308,55.3,1.2276,3.3202,0.169,-0.0,0.0
Linear Regression,1.9968430442362624,3.5244132683669727,0.06366972227263445,0.0,1.9968,3.5244,0.0637,0.0,-0.0
Ridge Regression,1.9968440502345697,3.524413365485647,0.06366967066962992,0.0,1.9968,3.5244,0.0637,0.0,-0.0
