S11 range (dB),count,mean_abs_err,max_abs_err,sum_sq_err,pct_of_points,pct_of_SSE
"(-70, -30]",10,7.09,25.067,1095.02,0.1,34.4
"(-30, -20]",68,1.045,16.98,502.568,0.6,15.8
"(-20, -10]",409,0.323,10.282,267.102,3.7,8.4
"(-10, -5]",670,0.28,16.861,989.001,6.1,31.1
"(-5, 0]",9851,0.02,10.659,326.942,89.5,10.3
